Title;;Date;;
Dexter: Temporada 1: Popping Cherry;;1/1/2025;;
Sobreviviendo a la navidad;;12/30/24;;
Dexter: Temporada 1: Crocodile;;12/29/24;;
Dexter: Temporada 1: Dexter;;12/29/24;;
El fútbol o yo;;12/29/24;;
Luz negra;;12/28/24;;
Agente bajo fuego;;12/26/24;;
La Palma: Miniserie: Punto seguro;;12/23/24;;
La Palma: Miniserie: A Tenerife;;12/23/24;;
La Palma: Miniserie: Despegue;;12/23/24;;
La Palma: Miniserie: El pastorcito mentiroso;;12/23/24;;
Cien años de soledad: Macondo;;12/22/24;;
1992: Hice lo que me pidieron;;12/22/24;;
1992: Eran otros tiempos;;12/22/24;;
1992: Mirando al abismo;;12/22/24;;
1992: Sevilla es como soñar con el cielo;;12/21/24;;
1992: La España que nos dejaron;;12/21/24;;
1992: ¿Te acuerdas de Curro?;;12/20/24;;
Palomas Negras: En el crudo invierno;;12/16/24;;
Palomas Negras: Lo que nos ha costado todo;;12/16/24;;
Palomas Negras: Empieza lo bueno;;12/16/24;;
Palomas Negras: La noche que llega;;12/15/24;;
Palomas Negras: A una Paloma Negra;;12/15/24;;
Palomas Negras: Por el amor;;12/14/24;;
La locura: Miniserie: No más locura;;12/8/2024;;
La locura: Miniserie: ADN;;12/7/2024;;
La locura: Miniserie: Loco;;12/7/2024;;
La locura: Miniserie: Ícaro;;12/6/2024;;
La locura: Miniserie: Radioactivo;;12/5/2024;;
La locura: Miniserie: Discordia;;12/4/2024;;
La locura: Miniserie: Piloto;;12/4/2024;;
La locura: Miniserie: Yibuti;;12/3/2024;;
Caso no resuelto: ¿Quién mató a JonBenét Ramsey?: La verdad prevalecerá;;12/2/2024;;
Caso no resuelto: ¿Quién mató a JonBenét Ramsey?: Lluvia de sospechas;;12/2/2024;;
Caso no resuelto: ¿Quién mató a JonBenét Ramsey?: Mantén a tus bebés cerca;;12/1/2024;;
La diplomática: Temporada 2: La Catedral de San Pablo;;11/30/24;;
La diplomática: Temporada 2: El otro ejército;;11/30/24;;
La diplomática: Temporada 2: Los idus de marzo;;11/26/24;;
La diplomática: Temporada 2: Cuando llama un extraño;;11/26/24;;
Bajo cero;;11/26/24;;
Animales nocturnos;;11/26/24;;
Joy;;11/24/24;;
Asalto al Banco Central: Miniserie: ¡Todo el mundo al suelo!;;11/24/24;;
Asalto al Banco Central: Miniserie: La hora de la verdad;;11/24/24;;
Asalto al Banco Central: Miniserie: El número 1;;11/24/24;;
Asalto en helicóptero: Miniserie: Mejores amigos;;11/23/24;;
Asalto al Banco Central: Miniserie: Tictac; tictac;11/22/24;;
Asalto al Banco Central: Miniserie: Off the record;;11/18/24;;
Jake Paul vs. Mike Tyson;;11/18/24;;
El precio de la verdad;;11/3/2024;;
Una aventura en Marruecos;;11/3/2024;;
Engaño: Miniserie: Episodio 3;;10/28/24;;
Engaño: Miniserie: Episodio 2;;10/28/24;;
Engaño: Miniserie: Episodio 1;;10/28/24;;
Los Enviados: Season 2: Episodio 8;;10/27/24;;
Los Enviados: Season 1: Episodio 1;;10/27/24;;
Los Enviados: Season 2: Episodio 7;;10/27/24;;
Los Enviados: Season 2: Episodio 6;;10/27/24;;
Los Enviados: Season 2: Episodio 5;;10/26/24;;
Los Enviados: Season 2: Episodio 4;;10/26/24;;
Los Enviados: Season 2: Episodio 3;;10/26/24;;
Los Enviados: Season 2: Episodio 2;;10/26/24;;
Los Enviados: Season 2: Episodio 1;;10/25/24;;
Los Enviados: Season 1: Episodio 8;;10/24/24;;
Los Enviados: Season 1: Episodio 7;;10/24/24;;
Los Enviados: Season 1: Episodio 6;;10/23/24;;
Los Enviados: Season 1: Episodio 5;;10/22/24;;
Los Enviados: Season 1: Episodio 4;;10/22/24;;
Los Enviados: Season 1: Episodio 3;;10/19/24;;
Los Enviados: Season 1: Episodio 2;;10/18/24;;
Clanes: Episodio 7;;10/18/24;;
Clanes: Episodio 6;;10/18/24;;
Clanes: Episodio 5;;10/18/24;;
Clanes: Episodio 4;;10/17/24;;
Clanes: Episodio 3;;10/16/24;;
Clanes: Episodio 2;;10/15/24;;
Clanes: Episodio 1;;10/14/24;;
Sr. Brooks;;10/13/24;;
La suma de todos los miedos;;10/13/24;;
El caso Yara Gambirasio: Más allá de toda duda razonable: Miniserie: Episodio 5;;10/13/24;;
El caso Yara Gambirasio: Más allá de toda duda razonable: Miniserie: Episodio 4;;10/12/2024;;
El caso Yara Gambirasio: Más allá de toda duda razonable: Miniserie: Episodio 3;;10/12/2024;;
El caso Yara Gambirasio: Más allá de toda duda razonable: Miniserie: Episodio 2;;10/12/2024;;
El caso Yara Gambirasio: Más allá de toda duda razonable: Miniserie: Episodio 1;;10/12/2024;;
Amor; acoso; asesinato;10/11/2024;
American Murder: Laci Peterson: Nada puede cambiar la verdad;;10/11/2024;;
American Murder: Laci Peterson: Lo que dicen de mí es mentira;;10/10/2024;;
American Murder: Laci Peterson: ¿Cómo que está perdida?;;10/10/2024;;
Los hermanos Menendez;;10/7/2024;;
Agente Stone;;10/7/2024;;
Asesino: Misión venganza;;10/6/2024;;
Problemas...;;10/6/2024;;
SAS: El ascenso del Cisne Negro;;10/4/2024;;
Siempre el mismo día: Miniserie: Episodio 1;;10/4/2024;;
Respira: Gota fría;;10/1/2024;;
Respira: Tierra quemada;;10/1/2024;;
Respira: El último hombre en pie;;10/1/2024;;
Respira: Por encima de todo;;10/1/2024;;
Respira: Huelga;;10/1/2024;;
Respira: Confío en ti;;9/30/24;;
Respira: Paramos;;9/29/24;;
Respira: Madera de médico;;9/29/24;;
Entre las llamas: La hija perdida: Parte 2;;9/29/24;;
Entre las llamas: La hija perdida: Parte 1;;9/29/24;;
No me rompan;;9/28/24;;
Envidiosa: Temporada 1: Todo sobre Vicky;;9/28/24;;
La isla del salmón y la discordia: Desert Salmon;;9/27/24;;
La isla del salmón y la discordia: Una adquisición hostil;;9/27/24;;
La familia tiene un precio;;9/26/24;;
Invitación a un asesinato;;9/26/24;;
Solo una noche de juegos;;9/26/24;;
Envidiosa: Temporada 1: La sirenita;;9/23/24;;
Envidiosa: Temporada 1: Mujer quilombo;;9/23/24;;
Envidiosa: Temporada 1: Un zapato feo y cómodo;;9/23/24;;
Envidiosa: Temporada 1: Historia clínica;;9/23/24;;
Envidiosa: Temporada 1: Rota y Roto;;9/22/24;;
Envidiosa: Temporada 1: Todas se casan menos vos;;9/22/24;;
Envidiosa: Temporada 1: Pizza Delivery;;9/22/24;;
Envidiosa: Temporada 1: El juego de la vida;;9/22/24;;
Envidiosa: Temporada 1: Leona pero no campeona;;9/22/24;;
Envidiosa: Temporada 1: Ametralladora de likes;;9/22/24;;
Envidiosa: Temporada 1: Barrilete cósmico;;9/22/24;;
Perdidos en la noche;;9/21/24;;
La pareja perfecta: Ya me siento mejor;;9/21/24;;
La pareja perfecta: Nunca te abandonaré;;9/21/24;;
La pareja perfecta: Alguien podría salir lastimado;;9/21/24;;
La pareja perfecta: La familia perfecta;;9/21/24;;
La pareja perfecta: Ella jamás haría eso;;9/21/24;;
La pareja perfecta: El día antes de la boda;;9/21/24;;
Control total;;9/21/24;;
Rebel Ridge;;9/14/24;;
Alerta roja;;9/13/24;;
Proyecto Géminis;;9/9/2024;;
Muerte en el funeral;;9/8/2024;;
Seven Seconds: Miniserie: Un niño y una bicicleta;;9/8/2024;;
Seven Seconds: Miniserie: Testigos;;9/8/2024;;
Seven Seconds: Miniserie: Bajo fianza;;9/8/2024;;
Seven Seconds: Miniserie: Caja sorpresa;;9/7/2024;;
Seven Seconds: Miniserie: Hasta que pasa;;9/7/2024;;
Seven Seconds: Miniserie: De dioses y hombres;;9/7/2024;;
Seven Seconds: Miniserie: A continuación;;9/7/2024;;
Seven Seconds: Miniserie: Cuestión de vida o muerte;;9/7/2024;;
Seven Seconds: Miniserie: El suspiro de Brenton;;9/6/2024;;
Seven Seconds: Miniserie: Piloto;;9/6/2024;;
Los colores del mal: Rojo;;9/2/2024;;
El amor está en el aire;;9/1/2024;;
Barrio chino;;8/31/24;;
Las chicas de Niza;;8/26/24;;
Detonantes;;8/26/24;;
Desaparecidos en la noche;;8/18/24;;
Reunión;;8/18/24;;
El Sindicato;;8/17/24;;
No puedo vivir sin ti;;8/17/24;;
Perdida;;8/17/24;;
El motín del Caine;;8/11/2024;;
El vengador;;8/11/2024;;
Lo que de verdad importa;;8/10/2024;;
Asesinato para principiantes: Episodio 6;;8/9/2024;;
Asesinato para principiantes: Episodio 5;;8/9/2024;;
Asesinato para principiantes: Episodio 4;;8/9/2024;;
Asesinato para principiantes: Episodio 3;;8/8/2024;;
El ritmo de la venganza;;8/8/2024;;
Wakolda;;8/7/2024;;
Besos que matan;;8/7/2024;;
El maestro y la música azul: Temporada 1: Claro de Luna;;8/6/2024;;
Doble amenaza;;8/5/2024;;
Niebla sin fronteras;;8/4/2024;;
Asesinato para principiantes: Episodio 2;;8/4/2024;;
Asesinato para principiantes: Episodio 1;;8/4/2024;;
Al borde del abismo;;7/29/24;;
No negociable;;7/29/24;;
El señor de la casa: Miniserie: El señor de la casa;;7/21/24;;
El señor de la casa: Miniserie: Rebelión;;7/21/24;;
El señor de la casa: Miniserie: Castigo;;7/21/24;;
El señor de la casa: Miniserie: Punto muerto;;7/21/24;;
El señor de la casa: Miniserie: Talón de Aquiles;;7/21/24;;
El señor de la casa: Miniserie: La oferta;;7/21/24;;
El señor de la casa: Miniserie: La última cena;;7/21/24;;
El curandero;;7/20/24;;
Goyo;;7/9/2024;;
Un asunto familiar;;7/7/2024;;
El prodigio;;6/30/24;;
Los crímenes de la academia;;6/30/24;;
La herencia del tío;;6/21/24;;
Misión: Imposible - Sentencia mortal;;6/20/24;;
Juego limpio;;6/20/24;;
Los caballeros: Cualquier eventualidad;;6/17/24;;
Los caballeros: Tengo cientos de primos;;6/17/24;;
Los caballeros: Un caballero un poco antipático;;6/17/24;;
Los caballeros: ¿Dónde está mi hierba?;;6/17/24;;
Los caballeros: Cielo Tommy pum pum;;6/17/24;;
En las profundidades del Sena;;6/16/24;;
Los caballeros: Agresión refinada;;6/16/24;;
Eric: Miniserie: Episodio 6;;6/15/24;;
Eric: Miniserie: Episodio 5;;6/15/24;;
Eric: Miniserie: Episodio 4;;6/15/24;;
Eric: Miniserie: Episodio 3;;6/15/24;;
Eric: Miniserie: Episodio 2;;6/15/24;;
Eric: Miniserie: Episodio 1;;6/13/24;;
Una parte de ti;;6/9/2024;;
Fin de semana en Croacia;;6/9/2024;;
Los colores del mal: Rojo: Los colores del mal: Rojo (Clip): Los colores del mal: Rojo;;6/1/2024;;
Yo estuve aquí;;5/26/24;;
Security;;5/24/24;;
Monster;;5/24/24;;
Paranoia;;5/19/24;;
The Good Cop: ¿Cantará Big Tony?;;5/17/24;;
The Good Cop: ¿Llegará a 300 el buen policía?;;5/16/24;;
The Good Cop: ¿Quién es la fea mujer alemana?;;5/15/24;;
The Good Cop: ¿Cuál es el secreto de la supermodelo?;;5/15/24;;
The Good Cop: ¿Quién le tendió una trampa al buen policía?;;5/13/24;;
Bodkin: Muéstrame lo que traes;;5/12/2024;;
Bodkin: El fin justifica los medios;;5/12/2024;;
Bodkin: La paz de nuestros tiempos;;5/12/2024;;
Bodkin: Veneno o algo así;;5/12/2024;;
Bodkin: Una vida inocente;;5/12/2024;;
Bodkin: Quiénes somos;;5/12/2024;;
Bodkin: Un verdadero misterio;;5/11/2024;;
La madre de la novia;;5/11/2024;;
Vivir 100 años: Los secretos de las zonas azules: Miniserie: Comienza el viaje;;5/11/2024;;
Desaparecida en Lørenskog: Miniserie: Los investigadores;;5/11/2024;;
Reptiles;;5/9/2024;;
Obsesión: Miniserie: Episodio 1;;5/8/2024;;
Ni en tus sueños;;5/5/2024;;
Directo al corazón;;5/4/2024;;
El banco de Dave;;5/3/2024;;
El plan perfecto;;5/3/2024;;
Antracita: El misterio de la secta: El equilibrio;;5/1/2024;;
Temple de acero;;5/1/2024;;
Perdidos en Tokio;;5/1/2024;;
Marca de vida;;5/1/2024;;
Antracita: El misterio de la secta: Una sombra aún más oscura;;5/1/2024;;
Antracita: El misterio de la secta: Levia borelis;;4/30/24;;
Antracita: El misterio de la secta: No confíes en nadie;;4/30/24;;
Antracita: El misterio de la secta: El discípulo n.º 13;;4/29/24;;
Antracita: El misterio de la secta: Las llamas aún arden;;4/29/24;;
Desapareció una noche;;4/28/24;;
Hotel Mumbai: El atentado;;4/27/24;;
El caso Asunta: Miniserie: El juicio;;4/27/24;;
El caso Asunta: Miniserie: 24 horas;;4/27/24;;
El caso Asunta: Miniserie: 28 de septiembre;;4/26/24;;
El caso Asunta: Miniserie: 26 de septiembre;;4/26/24;;
El caso Asunta: Miniserie: 24 de septiembre;;4/26/24;;
El caso Asunta: Miniserie: 21 de septiembre;;4/26/24;;
¿Qué voy a hacer con mi marido?;;4/26/24;;
La ley de los audaces: Temporada 7: Arriesgarse en el juego;;4/26/24;;
RIPLEY: Miniserie: III: SOMMERSO;;4/20/24;;
RIPLEY: Miniserie: II: SIETE OBRAS DE MISERICORDIA;;4/20/24;;
RIPLEY: Miniserie: I: UN HOMBRE DIFÍCIL DE ENCONTRAR;;4/20/24;;
Mano de hierro: A Matter of Blood;;4/20/24;;
Mano de hierro: Crossroads;;4/20/24;;
Mano de hierro: A Bad Omen;;4/20/24;;
Mano de hierro: An Eye for an Eye; a Tooth for a Tooth;4/20/24;;
Mano de hierro: Double or Nothing;;4/20/24;;
Tiempo de valientes;;4/19/24;;
El caso Outreau: Una pesadilla francesa: Miniserie: Justicia;;4/19/24;;
El caso Outreau: Una pesadilla francesa: Miniserie: El juicio;;4/19/24;;
El caso Outreau: Una pesadilla francesa: Miniserie: Fuera de control;;4/18/24;;
El caso Outreau: Una pesadilla francesa: Miniserie: La torre;;4/18/24;;
La niña de la foto;;4/18/24;;
El Último traje;;4/18/24;;
Un deseo irlandés;;4/17/24;;
Un día lluvioso en Nueva York;;4/16/24;;
Mano de hierro: Throne of Blood;;4/15/24;;
Mano de hierro: Long Live the King;;4/15/24;;
¿Qué hizo Jennifer?;;4/14/24;;
Mano de hierro: The Law of the Port;;4/10/2024;;
Escena del crimen: Muerte nocturna en Berlín: El deseo de matar;;4/10/2024;;
Escena del crimen: Muerte nocturna en Berlín: Un asesino serial en Berlín;;4/10/2024;;
Escena del crimen: Muerte nocturna en Berlín: Una muerte misteriosa;;4/9/2024;;
Homicidio: Nueva York: Asesino en serie en Harlem del Este;;4/1/2024;;
Homicidio: Nueva York: Apuñalado en Midtown;;4/1/2024;;
Descansar en paz;;3/31/24;;
Homicidio: Nueva York: Desaparecida en Wall Street;;3/31/24;;
Homicidio: Nueva York: Asesinato en Central Park;;3/30/24;;
Premoniciones;;3/30/24;;
Entre tierras: Episodio 1;;3/29/24;;
Damsel;;3/28/24;;
Monk: Monk y el candidato (Parte 1);;3/27/24;;
Homicidio: Nueva York: Masacre del Carnegie Deli;;3/25/24;;
Marcella: Temporada 3: Episodio 7;;3/24/24;;
Marcella: Temporada 3: Episodio 8;;3/24/24;;
Marcella: Temporada 3: Episodio 6;;3/24/24;;
Marcella: Temporada 3: Episodio 5;;3/24/24;;
Marcella: Temporada 3: Episodio 4;;3/23/24;;
Marcella: Temporada 3: Episodio 3;;3/22/24;;
Marcella: Temporada 2: Episodio 8;;3/21/24;;
Marcella: Temporada 3: Episodio 2;;3/20/24;;
Marcella: Temporada 3: Episodio 1;;3/20/24;;
Ocultos por la Luna;;3/17/24;;
Un ladrón romántico;;3/16/24;;
Línea de fuego;;3/15/24;;
El Hombre Gris;;3/15/24;;
Sin rastros;;3/12/2024;;
Espiando a los vecinos;;3/10/2024;;
Café con aroma de mujer: Episode 1;;3/6/2024;;
Muy lejos;;3/5/2024;;
Cadáveres: Miniserie: Digno de amor;;3/3/2024;;
Cadáveres: Miniserie: Atrápame si puedes;;3/3/2024;;
Cadáveres: Miniserie: El mundo es tuyo;;3/3/2024;;
Cadáveres: Miniserie: Somos nuestros mutuos fantasmas;;3/3/2024;;
Cadáveres: Miniserie: Desde hace tiempo;;3/3/2024;;
Cadáveres: Miniserie: Todo a su tiempo;;2/29/24;;
Cadáveres: Miniserie: ¿Sabes quién soy?;;2/28/24;;
Cadáveres: Miniserie: Ya estás muerto;;2/27/24;;
Clark: Miniserie: Leí todo lo que se ha escrito (y más);;2/26/24;;
Clark: Miniserie: ¿Por qué tendría un empleo? No tengo tiempo para esa basura; te pierdes toda la diversión;2/26/24;;
Lift: Un robo de primera clase;;2/24/24;;
El juicio: Episodio 1;;2/24/24;;
Clark: Miniserie: ¡Que empiece la fiesta!;;2/22/24;;
Clark: Miniserie: Me ven como una mezcla de un personaje infantil y Al Capone;;2/22/24;;
Clark: Miniserie: Todo lo hago al revés; como en piloto automático;2/20/24;;
Sorjonen: Murales de sangre;;2/20/24;;
El abismo de Kiruna;;2/20/24;;
Lo que ignoramos;;2/20/24;;
Clark: Miniserie: Ser de lo mejor en lo mejor no era lo mío; así que decidí ser de lo mejor en lo peor;2/19/24;;
La maravillosa historia de Henry Sugar;;2/19/24;;
La ley y el orden: Unidad de víctimas especiales: The Sixth Year: Deuda;;2/19/24;;
La ley y el orden: Unidad de víctimas especiales: The Sixth Year: Derecho por nacimiento;;2/19/24;;
Forst: Episodio 1;;2/17/24;;
¿De quién huimos; mamá?: Miniserie: Episodio 2;2/17/24;;
¿De quién huimos; mamá?: Miniserie: Episodio 1;2/17/24;;
El después;;2/17/24;;
La sociedad de la nieve: ¿Quiénes fuimos en la montaña?;;2/17/24;;
La sociedad de la nieve;;2/17/24;;
El caso Hartung: Temporada 1: Episodio 1;;2/16/24;;
